Name,BirthDate,CurrentDate,CurrentAge,Gender,Address,Contact_URL,Url,Phone,Party,DateInOffice,EndOfTerm,YearsInOffice,AgeAtTakingOfficeYear,StateAbb,State,District,OfficeAddress,Position,YearNextElection,BelieveClimateChange,Quote,QuoteSource,QuoteURL
Jon Tester,21-Aug-56,15-Dec-16,60,M,311 Hart Senate Office Building Washington DC 20510,http://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov,202-224-2644,Democratic,4-Jan-07,3-Jan-19,9,50,MT,Montana,,311 Hart Senate Office Building,sen,2018,Yes,,,
Joni Ernst,1-Jul-70,15-Dec-16,46,F,111 Russell Senate Office Building Washington DC 20510,,http://www.ernst.senate.gov,202-224-3254,Republican,6-Jan-15,3-Jan-21,1,44,IA,Iowa,,111 Russell Senate Office Building,sen,2020,No,"I don't know the science behind climate change. I can't say one way or another what is the direct impact from, whether it's man-made or no.I've heard arguments from both sides, but I do believe in protecting our environment.","E&E News, 1/13/15",http://www.eenews.net/special_reports/inside_committees/stories/1060011548
Joseph Crowley,16-Mar-62,15-Dec-16,54,M,1436 Longworth HOB; Washington DC 20515-3214,https://crowley.house.gov/contact-me/email-me,http://crowley.house.gov,202-225-3965,Democratic,6-Jan-99,3-Jan-17,17,36,NY,New York,15,1436 Longworth House Office Building,rep,2018,Yes,,,
Joseph J. Heck,30-Oct-61,15-Dec-16,55,M,132 Cannon HOB; Washington DC 20515-2803,https://heck.house.gov/contact-me,https://heck.house.gov,202-225-3252,Republican,5-Jan-11,3-Jan-17,5,49,NV,Nevada,4,132 Cannon House Office Building,rep,2018,No,,,
Joseph P. Kennedy III,4-Oct-80,15-Dec-16,36,M,306 Cannon HOB; Washington DC 20515-2104,https://kennedy.house.gov/contact/email-me,http://kennedy.house.gov,202-225-5931,Democratic,3-Jan-13,3-Jan-17,3,32,MA,Massachusetts,5,306 Cannon House Office Building,rep,2018,Yes,,,
Joseph R. Pitts,10-Oct-39,15-Dec-16,77,M,420 Cannon HOB; Washington DC 20515-3816,https://pitts.house.gov/contact-me/legislative-contact-form,http://pitts.house.gov,202-225-2411,Republican,7-Jan-97,3-Jan-17,19,57,PA,Pennsylvania,17,420 Cannon House Office Building,rep,2018,No,,,
Jose E. Serrano,24-Oct-43,15-Dec-16,73,M,2227 Rayburn HOB; Washington DC 20515-3215,https://serrano.house.gov/contact-me/email-me,http://serrano.house.gov,202-225-4361,Democratic,3-Jan-89,3-Jan-17,27,45,NY,New York,16,2227 Rayburn House Office Building,rep,2018,Yes,,,
Joyce Beatty,12-Mar-50,15-Dec-16,66,F,133 Cannon HOB; Washington DC 20515-3503,https://beattyforms.house.gov/forms/writeyourrep/,http://beatty.house.gov,202-225-4324,Democratic,3-Jan-13,3-Jan-17,3,62,OH,Ohio,4,133 Cannon House Office Building,rep,2018,Yes,,,
Juan Vargas,7-Mar-61,15-Dec-16,55,M,1605 Longworth HOB; Washington DC 20515-0551,https://vargas.house.gov/contact,http://vargas.house.gov,202-225-8045,Democratic,3-Jan-13,3-Jan-17,3,51,CA,California,52,1605 Longworth House Office Building,rep,2018,Yes,,,
Judy Chu,7-Jul-53,15-Dec-16,63,F,2423 Rayburn HOB; Washington DC 20515-0527,http://chu.house.gov/connect-with-me/email-judy,http://chu.house.gov,202-225-5464,Democratic,16-Jul-09,3-Jan-17,7,56,CA,California,28,2423 Rayburn House Office Building,rep,2018,Yes,,,
Julia Brownley,28-Aug-52,15-Dec-16,64,F,1019 Longworth HOB; Washington DC 20515-0526,https://juliabrownley.house.gov/contact/email-me,http://juliabrownley.house.gov,202-225-5811,Democratic,3-Jan-13,3-Jan-17,3,60,CA,California,27,1019 Longworth House Office Building,rep,2018,Yes,,,
Justin Amash,18-Apr-80,15-Dec-16,36,M,114 Cannon HOB; Washington DC 20515-2203,https://amash.house.gov/contact-me/email-me,http://amash.house.gov,202-225-3831,Republican,5-Jan-11,3-Jan-17,5,30,MI,Michigan,4,114 Cannon House Office Building,rep,2018,No,"Justin Amash shared an article on Facebook called Climate change: this is the worst scientific scandal of our generation, with the caption The MEDC central planners continue to hand hundreds of millions of your dollars to private energy companies, using 'climate change' and 'economic diversification' as justification. Only among government officials and their apologists could such a villainous concentration of resources into a single industry be called ""diversification.""","Justin Amash Facebook, 11/29/09",https://www.facebook.com/justinamash/?fref=nf
K. Michael Conaway,11-Jun-48,15-Dec-16,68,M,2430 Rayburn HOB; Washington DC 20515-4311,https://conaway.house.gov/forms/writeyourrep/default.aspx,http://conaway.house.gov,202-225-3605,Republican,4-Jan-05,3-Jan-17,11,56,TX,Texas,12,2430 Rayburn House Office Building,rep,2018,No,,,
Karen Bass,3-Oct-53,15-Dec-16,63,F,408 Cannon HOB; Washington DC 20515-0537,https://bass.house.gov/contact-me/email-me,http://bass.house.gov,202-225-7084,Democratic,5-Jan-11,3-Jan-17,5,57,CA,California,38,408 Cannon House Office Building,rep,2018,Yes,,,
Katherine M. Clark,17-Jul-63,15-Dec-16,53,F,1721 Longworth HOB; Washington DC 20515-2105,https://katherineclark.house.gov/index.cfm/email-me,https://katherineclark.house.gov,202-225-2836,Democratic,12-Dec-13,3-Jan-17,3,50,MA,Massachusetts,6,1721 Longworth House Office Building,rep,2018,Yes,,,
Kathleen M. Rice,15-Feb-65,15-Dec-16,51,F,1508 Longworth HOB; Washington DC 20515-3204,,http://kathleenrice.house.gov,202-225-5516,Democratic,6-Jan-15,3-Jan-17,1,49,NY,New York,5,1508 Longworth House Office Building,rep,2018,Yes,,,
Kathy Castor,20-Aug-66,15-Dec-16,50,F,205 Cannon HOB; Washington DC 20515-0914,https://castor.house.gov/contact/contactform.htm,http://castor.house.gov,202-225-3376,Democratic,4-Jan-07,3-Jan-17,9,40,FL,Florida,15,205 Cannon House Office Building,rep,2018,Yes,,,
Kay Granger,18-Jan-43,15-Dec-16,73,F,1026 Longworth HOB; Washington DC 20515-4312,http://kaygranger.house.gov/contact-kay/email-me,http://kaygranger.house.gov,202-225-5071,Republican,7-Jan-97,3-Jan-17,19,53,TX,Texas,13,1026 Longworth House Office Building,rep,2018,No,,,
Keith Ellison,4-Aug-63,15-Dec-16,53,M,2263 Rayburn HOB; Washington DC 20515-2305,http://ellison.house.gov/contact,http://ellison.house.gov,202-225-4755,Democratic,4-Jan-07,3-Jan-17,9,43,MN,Minnesota,6,2263 Rayburn House Office Building,rep,2018,Yes,,,
Keith J. Rothfus,25-Apr-62,15-Dec-16,54,M,1205 Longworth HOB; Washington DC 20515-3812,https://rothfus.house.gov/email-keith,https://rothfus.house.gov,202-225-2065,Republican,3-Jan-13,3-Jan-17,3,50,PA,Pennsylvania,13,1205 Longworth House Office Building,rep,2018,No,"Rothfus responded: ñI do not believe itÍs man-made and I am not convinced that it is a fact. I think the science is still out. I think for the last 15 years we havenÍt had any warmingî to the question: Do you believe that global warming which is now referred to as climate change is a fact, and if so do you believe that it is man-made?","Roundtable Interview, 9/8/10",https://www.youtube.com/watch?v=UEUA2MYRI8U
Kelly Ayotte,27-Jun-68,15-Dec-16,48,F,144 Russell Senate Office Building Washington DC 20510,http://www.ayotte.senate.gov/?p=contact,http://www.ayotte.senate.gov,202-224-3324,Republican,5-Jan-11,3-Jan-17,5,42,NH,New Hampshire,,144 Russell Senate Office Building,sen,2022,No,,,
Ken Buck,16-Feb-59,15-Dec-16,57,M,416 Cannon HOB; Washington DC 20515-0604,,https://buck.house.gov,202-225-4676,Republican,6-Jan-15,3-Jan-17,1,55,CO,Colorado,5,416 Cannon House Office Building,rep,2018,No,"Sen. Inhofe was the first person to stand up and say this global warming is the greatest hoax that has been perpetrated. The evidence just keeps supporting his view, and more and more people's view, of what's going on.","ThinkProgress, 8/8/13",http://thinkprogress.org/politics/2013/08/08/2434291/reintroducing-ken-buck-colorado/
Ken Calvert,8-Jun-53,15-Dec-16,63,M,2205 Rayburn HOB; Washington DC 20515-0542,https://calvert.house.gov/contactform/,http://calvert.house.gov,202-225-1986,Republican,5-Jan-93,3-Jan-17,23,39,CA,California,43,2205 Rayburn House Office Building,rep,2018,No,"Calvert co-sponsored H.Res.954, a resolution that stated: Whereas recent events have uncovered extensive evidence from the Climate Research Unit at the University of East Anglia in England (in this resolution referred to as the 'CRU') which involved many researchers across the globe discussing the destruction, altering, and hiding of data that did not support global warming claims.","H.Res.954, Gov Track, 12/8/09",https://www.govtrack.us/congress/bills/111/hres974/text
Kenny Marchant,23-Feb-51,15-Dec-16,65,M,2313 Rayburn HOB; Washington DC 20515-4324,https://marchant.house.gov/contact/contactform.htm,http://marchant.house.gov,202-225-6605,Republican,4-Jan-05,3-Jan-17,11,53,TX,Texas,25,2313 Rayburn House Office Building,rep,2018,No,,,
Kevin Brady,11-Apr-55,15-Dec-16,61,M,301 Cannon HOB; Washington DC 20515-4308,https://kevinbrady.house.gov/contact-form,http://kevinbrady.house.gov,202-225-4901,Republican,7-Jan-97,3-Jan-17,19,41,TX,Texas,9,301 Cannon House Office Building,rep,2018,No,,,
Kevin Cramer,21-Jan-61,15-Dec-16,55,M,1032 Longworth HOB; Washington DC 20515-3400,https://cramer.house.gov/contact/email-me,http://cramer.house.gov,202-225-2611,Republican,3-Jan-13,3-Jan-17,3,51,ND,North Dakota,1,1032 Longworth House Office Building,rep,2018,No,"These mandates and these wind farms are all based on this fraudulent science from the EPA, meaning their claim that CO2 is a pollutant and is causing global warming. I'm sure you're familiar with one of the leading climate research centers in the world there at East Anglia University in England, the Hadley Research Centre. The director, Phil Jones, his emails, he admitted that he was falsifying temperature data. The reason he had to do is because was the data was showing the global climate is actually declining in temperature, temperatures were going down. He was overlaying higher temperatures on the real data to show that it was actually rising. We know the globe is cooling. Number one, we know that. So the idea that CO2 is somehow causing global warming is on its face fraudulent.","Hill Heat, 8/7/13",http://www.hillheat.com/articles/2013/08/07/audio-rep-kevin-cramer-r-n-d-believes-global-warming-is-fraudulent-science-to-promote-wind-farms
Kevin McCarthy,26-Jan-65,15-Dec-16,51,M,2421 Rayburn HOB; Washington DC 20515-0523,https://kevinmccarthy.house.gov/contact/email-me,http://kevinmccarthy.house.gov,202-225-2915,Republican,4-Jan-07,3-Jan-17,9,41,CA,California,24,2421 Rayburn House Office Building,rep,2018,No,,,
Kevin Yoder,8-Jan-76,15-Dec-16,40,M,215 Cannon HOB; Washington DC 20515-1603,https://yoder.house.gov/contact/email-me,http://yoder.house.gov,202-225-2865,Republican,5-Jan-11,3-Jan-17,5,34,KS,Kansas,4,215 Cannon House Office Building,rep,2018,No,,,
Kirsten E. Gillibrand,9-Dec-66,15-Dec-16,50,F,478 Russell Senate Office Building Washington DC 20510,http://www.gillibrand.senate.gov/contact/,https://www.gillibrand.senate.gov,202-224-4451,Democratic,4-Jan-07,3-Jan-19,9,40,NY,New York,,478 Russell Senate Office Building,sen,2018,Yes,,,
Kristi L. Noem,30-Nov-71,15-Dec-16,45,F,2422 Rayburn HOB; Washington DC 20515-4100,http://noem.house.gov/index.cfm/email-kristi,https://noem.house.gov,202-225-2801,Republican,5-Jan-11,3-Jan-17,5,39,SD,South Dakota,1,2422 Rayburn House Office Building,rep,2018,No,"Rep. Noem voted for a South Dakota House Resolution stating that ñThat there are a variety of climatological, meteorological, astrological, thermological, cosmological, and ecological dynamics that can effect world weather phenomena and that the significance and interrelativity of these factors is largely speculative.î She also tweeted ñHereÍs a Halloween scare for you: Obama's Energy Dept claims jack-o-lanterns contribute to global warmingƒî","Organizing For Action ||| Twitter,10/31/15",https://www.barackobama.com/climate-change-deniers/kristi-noem-south-dakota/ ||| https://twitter.com/kristinoem/status/660456213763649536
Kurt Schrader,19-Oct-51,15-Dec-16,65,M,2431 Rayburn HOB; Washington DC 20515-3705,https://schrader.house.gov/contact,http://schrader.house.gov,202-225-5711,Democratic,6-Jan-09,3-Jan-17,7,57,OR,Oregon,6,2431 Rayburn House Office Building,rep,2018,Yes,,,
Kyrsten Sinema,12-Jul-76,15-Dec-16,40,F,1530 Longworth HOB; Washington DC 20515-0309,https://sinemaforms.house.gov/forms/writeyourrep/,https://sinema.house.gov,202-225-9888,Democratic,3-Jan-13,3-Jan-17,3,36,AZ,Arizona,10,1530 Longworth House Office Building,rep,2018,Yes,,,
Lamar Alexander,3-Jul-40,15-Dec-16,76,M,455 Dirksen Senate Office Building Washington DC 20510,http://www.alexander.senate.gov/public/index.cfm?p=Email,http://www.alexander.senate.gov,202-224-4944,Republican,7-Jan-03,3-Jan-21,13,62,TN,Tennessee,,455 Dirksen Senate Office Building,sen,2020,Yes,"I am one senator who thinks climate change is a problem, humans are causing it, and we need to deal with it.",Environment and Public Works Committee hearing in 2009,http://grist.org/article/2009-lamar-alexander-on-climate-legislation/
Lamar Smith,19-Nov-47,15-Dec-16,69,M,2409 Rayburn HOB; Washington DC 20515-4321,http://lamarsmith.house.gov/contact/email-lamar,http://lamarsmith.house.gov,202-225-4236,Republican,6-Jan-87,3-Jan-17,29,39,TX,Texas,22,2409 Rayburn House Office Building,rep,2018,No,"ñAtmospheric satellite data, considered by many to be the most objective, has clearly showed no warming for the past two decades. This fact is well documented, but has been embarrassing for an administration determined to push through costly environmental regulations.î","Washington Times, 11/26/15",http://www.washingtontimes.com/news/2015/nov/26/lamar-smith-noaas-climate-change-science-fiction/
Larry Bucshon,31-May-62,15-Dec-16,54,M,1005 Longworth HOB; Washington DC 20515-1408,https://bucshon.house.gov/contact-me/email-me,http://bucshon.house.gov,202-225-4636,Republican,5-Jan-11,3-Jan-17,5,48,IN,Indiana,9,1005 Longworth House Office Building,rep,2018,No,"It's not about affecting the global temperature and climate change. There's public comments out there that that question has been answered saying 'n.' Of all the climatologists whose career depends on the climate changing to keep themselves publishing articles, yes I could read that. But I don't believe it.","The Daily Show, 9/22/14",http://www.cc.com/video-clips/8q3nmm/the-daily-show-with-jon-stewart-burn-noticed
Lee M. Zeldin,30-Jan-80,15-Dec-16,36,M,1517 Longworth HOB; Washington DC 20515-3201,,https://zeldin.house.gov,202-225-3826,Republican,6-Jan-15,3-Jan-17,1,34,NY,New York,2,1517 Longworth House Office Building,rep,2018,No,"ñI think it would be very productive if we could just get to exactly what is really and what is not real, because I think both sides of the climate change debate are filled with people who are stretching truths. IÍm not sold yet on the whole argument that we have as serious a problem with climate change as other people.î","Newsday, 10/28/14",http://www.newsday.com/opinion/tim-bishop-and-lee-zeldin-on-the-issues-1.9497502
Leonard Lance,25-Jun-52,15-Dec-16,64,M,2352 Rayburn HOB; Washington DC 20515-3007,https://lance.house.gov/contact-me1,http://lance.house.gov,202-225-5361,Republican,6-Jan-09,3-Jan-17,7,56,NJ,New Jersey,8,2352 Rayburn House Office Building,rep,2018,No,The disclosure of emails from the CRU is very troubling and merits a thorough and transparent investigation. Clearly there is a strong appearance that important scientific research may have been tainted by politics.,"Lance Website, 12/3/09",https://lance.house.gov/newsroom/press-releases/lance-calls-for-an-investigation-into-climategate
Linda T. Sanchez,28-Jan-69,15-Dec-16,47,F,2329 Rayburn HOB; Washington DC 20515-0538,https://forms.house.gov/lindasanchez/webforms/issue_subscribe.htm,https://lindasanchez.house.gov,202-225-6676,Democratic,7-Jan-03,3-Jan-17,13,33,CA,California,39,2329 Rayburn House Office Building,rep,2018,Yes,,,
Lindsey Graham,9-Jul-55,15-Dec-16,61,M,290 Russell Senate Office Building Washington DC 20510,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Contact.EmailSenatorGraham,http://www.lgraham.senate.gov,202-224-5972,Republican,4-Jan-95,3-Jan-21,21,39,SC,South Carolina,,290 Russell Senate Office Building,sen,2020,Yes,,,
Lisa Murkowski,22-May-57,15-Dec-16,59,F,709 Hart Senate Office Building Washington DC 20510,http://www.murkowski.senate.gov/public/index.cfm?p=EMailLisa,https://www.murkowski.senate.gov,202-224-6665,Republican,7-Jan-03,3-Jan-17,13,45,AK,Alaska,,709 Hart Senate Office Building,sen,2022,No,,,
Lloyd Doggett,6-Oct-46,15-Dec-16,70,M,2307 Rayburn HOB; Washington DC 20515-4335,https://forms.house.gov/doggett/webforms/issue_subscribe.htm,http://doggett.house.gov,202-225-4865,Democratic,4-Jan-95,3-Jan-17,21,48,TX,Texas,36,2307 Rayburn House Office Building,rep,2018,Yes,,,
Lois Capps,10-Jan-38,15-Dec-16,78,F,2231 Rayburn HOB; Washington DC 20515-0524,https://capps.house.gov/contact-me/email-me,http://capps.house.gov,202-225-3601,Democratic,10-Mar-98,3-Jan-17,18,60,CA,California,25,2231 Rayburn House Office Building,rep,2018,Yes,,,
Lois Frankel,16-May-48,15-Dec-16,68,F,1037 Longworth HOB; Washington DC 20515-0922,https://frankel.house.gov/contact/email-me,http://frankel.house.gov,202-225-9890,Democratic,3-Jan-13,3-Jan-17,3,64,FL,Florida,23,1037 Longworth House Office Building,rep,2018,Yes,,,
Loretta Sanchez,7-Jan-60,15-Dec-16,56,F,1211 Longworth HOB; Washington DC 20515-0546,https://lorettasanchez.house.gov/contact-me/email-me,http://lorettasanchez.house.gov,202-225-2965,Democratic,7-Jan-97,3-Jan-17,19,37,CA,California,47,1211 Longworth House Office Building,rep,2018,Yes,,,
Lou Barletta,28-Jan-56,15-Dec-16,60,M,115 Cannon HOB; Washington DC 20515-3811,https://barletta.house.gov/contact/email-me,http://barletta.house.gov,202-225-6511,Republican,5-Jan-11,3-Jan-17,5,54,PA,Pennsylvania,12,115 Cannon House Office Building,rep,2018,No,"""'I have great admiration for Pope Francis and agree with him that preserving clean air and water, and a healthy environment, are goals that we should all want to achieve,' Barletta said in a statement. 'That said, I believe that the world moves in climate cycles, and there is evidence to indicate that we are currently in a cooling trend.'","Morning Call, 6/17/15",http://www.mcall.com/news/nationworld/pennsylvania/mc-pa-pope-congress-climate-change-20150617-story.html
Louie Gohmert,18-Aug-53,15-Dec-16,63,M,2243 Rayburn HOB; Washington DC 20515-4301,http://gohmert.house.gov/contact/,http://gohmert.house.gov,202-225-3035,Republican,4-Jan-05,3-Jan-17,11,51,TX,Texas,2,2243 Rayburn House Office Building,rep,2018,No,"Rep. Gohmert said, Apparently this climate change was global freezing back in the 1970s. Then global warming and then, when it quit warming, now it's climate change. And in a House Committee on Natural Resources hearing he said, I'm on record as believing climate change to be a fact. In East Texas where I live it happens four times a year.","Washington Times, 5/8/14 ||| House Committee on Natural Resources Hearing, 5/3/15 via the Guardian",http://www.washingtontimes.com/news/2014/may/8/louie-gohmert-todays-climate-change-was-1970s-glob/ ||| http://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/may/21/congress-manufactures-doubt-and-denial-in-climate-change-hearing
Louise McIntosh Slaughter,14-Aug-29,15-Dec-16,87,F,2469 Rayburn HOB; Washington DC 20515-3225,https://louise.house.gov/contact-louise,https://louise.house.gov,202-225-3615,Democratic,6-Jan-87,3-Jan-17,29,57,NY,New York,26,2469 Rayburn House Office Building,rep,2018,Yes,,,
Lucille Roybal-Allard,12-Jun-41,15-Dec-16,75,F,2330 Rayburn HOB; Washington DC 20515-0540,http://roybal-allard.house.gov/contact/,http://roybal-allard.house.gov,202-225-1766,Democratic,5-Jan-93,3-Jan-17,23,51,CA,California,41,2330 Rayburn House Office Building,rep,2018,Yes,,,
Luis V. GutiêÑÔ©rrez,10-Dec-53,15-Dec-16,63,M,2408 Rayburn HOB; Washington DC 20515-1304,http://gutierrezforms.house.gov/contact/,http://gutierrez.house.gov,202-225-8203,Democratic,5-Jan-93,3-Jan-17,23,39,IL,Illinois,5,2408 Rayburn House Office Building,rep,2018,Yes,,,
Luke Messer,27-Feb-69,15-Dec-16,47,M,508 Cannon HOB; Washington DC 20515-1406,https://messer.house.gov/contact/email-me,https://messer.house.gov,202-225-3021,Republican,3-Jan-13,3-Jan-17,3,43,IN,Indiana,7,508 Cannon House Office Building,rep,2018,No,,,
Lynn A. Westmoreland,2-Apr-50,15-Dec-16,66,M,2202 Rayburn HOB; Washington DC 20515-1003,https://westmoreland.house.gov/email-me,http://westmoreland.house.gov,202-225-5901,Republican,4-Jan-05,3-Jan-17,11,54,GA,Georgia,4,2202 Rayburn House Office Building,rep,2018,No,"Co-filed a petition to the Environmental Protection Agency to reconsider the endangerment finding that said: ñClimategate reveals a serious lack of integrity in the underlying data and models, such that it is doubtful that any process can be trusted until the data and models are validated and their integrity assured.î","Petition to EPA, 12/23/09",http://www3.epa.gov/climatechange/Downloads/endangerment/Petition_for_Reconsideration_Southeastern_Legal_Foundation.pdf
Lynn Jenkins,10-Jun-63,15-Dec-16,53,F,1526 Longworth HOB; Washington DC 20515-1602,https://lynnjenkins.house.gov/contact-me,http://lynnjenkins.house.gov,202-225-6601,Republican,6-Jan-09,3-Jan-17,7,45,KS,Kansas,3,1526 Longworth House Office Building,rep,2018,No,,,
Mac Thornberry,15-Jul-58,15-Dec-16,58,M,2208 Rayburn HOB; Washington DC 20515-4313,https://thornberry.house.gov/forms/writeyourrep/,http://thornberry.house.gov,202-225-3706,Republican,4-Jan-95,3-Jan-17,21,36,TX,Texas,14,2208 Rayburn House Office Building,rep,2018,No,"Any decisions we make should be based on sound science rather than political, social or personal profit agendas. No computer model yet has correctly predicted the Earth's actual temperatures. We simply do not understand enough about the causes and effects related to our weather.","USA Today, 8/10/11",http://usatoday30.usatoday.com/news/opinion/editorials/2011-08-10-drought-cap-and-trade-texas_n.htm
Marc A. Veasey,3-Jan-71,15-Dec-16,45,M,414 Cannon HOB; Washington DC 20515-4333,https://veaseyforms.house.gov/forms/writeyourrep/,http://veasey.house.gov,202-225-9897,Democratic,3-Jan-13,3-Jan-17,3,42,TX,Texas,34,414 Cannon House Office Building,rep,2018,Yes,,,
Marcia L. Fudge,29-Oct-52,15-Dec-16,64,F,2344 Rayburn HOB; Washington DC 20515-3511,https://fudgeforms.house.gov/contact-form,http://fudge.house.gov,202-225-7032,Democratic,19-Nov-08,3-Jan-17,8,56,OH,Ohio,12,2344 Rayburn House Office Building,rep,2018,Yes,,,
Marco Rubio,28-May-71,15-Dec-16,45,M,284 Russell Senate Office Building Washington DC 20510,http://www.rubio.senate.gov/public/index.cfm/contact,http://www.rubio.senate.gov,202-224-3041,Republican,5-Jan-11,3-Jan-17,5,39,FL,Florida,,284 Russell Senate Office Building,sen,2022,No,At a town hall meeting in Iowa a voter told Rubio that he believed global warming is a hoax. Rubio responded: It's not in this following sense: The climate has always changed.,"Des Moines Register, 2/24/16",http://www.desmoinesregister.com/story/news/elections/presidential/caucus/2016/01/24/marco-rubio-opposes-climate-change-measures/79274914/
Marcy Kaptur,17-Jun-46,15-Dec-16,70,F,2186 Rayburn HOB; Washington DC 20515-3509,https://forms.house.gov/kaptur/webforms/issue_subscribe.shtml,http://kaptur.house.gov,202-225-4146,Democratic,3-Jan-83,3-Jan-17,33,36,OH,Ohio,10,2186 Rayburn House Office Building,rep,2018,Yes,,,
Maria Cantwell,13-Oct-58,15-Dec-16,58,F,511 Hart Senate Office Building Washington DC 20510,http://www.cantwell.senate.gov/public/index.cfm/email-maria,https://www.cantwell.senate.gov,202-224-3441,Democratic,5-Jan-93,3-Jan-19,23,34,WA,Washington,,511 Hart Senate Office Building,sen,2018,Yes,,,
Mario Diaz-Balart,25-Sep-61,15-Dec-16,55,M,440 Cannon HOB; Washington DC 20515-0925,http://mariodiazbalart.house.gov/contact-mario/write-rep-diaz-balart,http://mariodiazbalart.house.gov,202-225-4211,Republican,7-Jan-03,3-Jan-17,13,41,FL,Florida,26,440 Cannon House Office Building,rep,2018,No,"I know there's a lot of money to be made on the bandwagon of global warming, you can make movies, documentaries, get a lot of research money ‹ and that's okay, I love capitalism. My fear is using the bandwagon of global warming to have Congress act on some knee-jerk reaction which will please some editorialists, will hurt our economy, will not do anything to help us in the future.","Mario Diaz-Balart Video, 9/25/07",https://www.youtube.com/watch?v=0RhCBDBvACE
Mark DeSaulnier,31-Mar-52,15-Dec-16,64,M,327 Cannon HOB; Washington DC 20515-0511,,https://desaulnier.house.gov,202-225-2095,Democratic,6-Jan-15,3-Jan-17,1,62,CA,California,12,327 Cannon House Office Building,rep,2018,Yes,,,
Mark E. Amodei,12-Jun-58,15-Dec-16,58,M,332 Cannon HOB; Washington DC 20515-2802,https://amodei.house.gov/contact-us,http://amodei.house.gov,202-225-6155,Republican,13-Sep-11,3-Jan-17,5,53,NV,Nevada,3,332 Cannon House Office Building,rep,2018,No,"ñThe issue of climate change is very controversial and many scientists disagree as to its causes and how to handle it. I recognize that some scientists believe that global warming is caused by failed environmental practices; however, others argue that these temperature increases would incur regardless due to the warming of the center of the earth. I do not believe it is appropriate for the federal government to advocate one position over the other. Since, we do not know much about long-term climate change, I do agree we must have an unbiased research effort funded by both the government and the private sector to answer the essential questions about climate change.î","Daily Kos, 8/16/13",http://www.dailykos.com/story/2013/08/16/1231627/-Nevada-Rep-Mark-Amodei-R-Challenges-Climate-Change-in-a-Letter-to-a-Constituent
Mark Kirk,15-Sep-59,15-Dec-16,57,M,524 Hart Senate Office Building Washington DC 20510,http://www.kirk.senate.gov/?p=comment_on_legislation,https://www.kirk.senate.gov,202-224-2854,Republican,3-Jan-01,3-Jan-17,15,41,IL,Illinois,,524 Hart Senate Office Building,sen,2022,No,,,
Mark Meadows,28-Jul-59,15-Dec-16,57,M,1024 Longworth HOB; Washington DC 20515-3311,https://meadows.house.gov/email-me,https://meadows.house.gov,202-225-6401,Republican,3-Jan-13,3-Jan-17,3,53,NC,North Carolina,12,1024 Longworth House Office Building,rep,2018,No,,,
Mark Pocan,14-Aug-64,15-Dec-16,52,M,313 Cannon HOB; Washington DC 20515-4902,https://pocan.house.gov/contact/email-me,http://pocan.house.gov,202-225-2906,Democratic,3-Jan-13,3-Jan-17,3,48,WI,Wisconsin,3,313 Cannon House Office Building,rep,2018,Yes,,,
Mark R. Warner,15-Dec-54,15-Dec-16,62,M,475 Russell Senate Office Building Washington DC 20510,http://www.warner.senate.gov/public//index.cfm?p=ContactPage#form_f9db6196-2dc7-4cda-8add-f8435a71318a,http://www.warner.senate.gov,202-224-2023,Democratic,6-Jan-09,3-Jan-21,7,54,VA,Virginia,,475 Russell Senate Office Building,sen,2020,Yes,,,
Mark Sanford,28-May-60,15-Dec-16,56,M,2201 Rayburn HOB; Washington DC 20515-4001,https://sanford.house.gov/contact/email-me,http://sanford.house.gov,202-225-3176,Republican,4-Jan-95,3-Jan-17,21,34,SC,South Carolina,2,2201 Rayburn House Office Building,rep,2018,No,,,
Mark Takano,10-Dec-60,15-Dec-16,56,M,1507 Longworth HOB; Washington DC 20515-0541,https://takano.house.gov/contact/email-me,https://takano.house.gov,202-225-2305,Democratic,3-Jan-13,3-Jan-17,3,52,CA,California,42,1507 Longworth House Office Building,rep,2018,Yes,,,
Mark Walker,20-May-69,15-Dec-16,47,M,312 Cannon HOB; Washington DC 20515-3306,,https://walker.house.gov,202-225-3065,Republican,6-Jan-15,3-Jan-17,1,45,NC,North Carolina,7,312 Cannon House Office Building,rep,2018,No,We can be green without being extreme. Much of the 'so-called' science of climate change is contested though it's made a few politicians quite wealthy. I believe that God provided the earth to us and we have a responsibility to conserve and respect the environment.,"Walker for north Carolina, via EMILY's List",http://www.emilyslist.org/news/entry/emilys-list-president-stephanie-schriock-statement-on-results-of-nc-06-runo
Markwayne Mullin,26-Jul-77,15-Dec-16,39,M,1113 Longworth HOB; Washington DC 20515-3602,https://mullin.house.gov/contact/email-me,http://mullin.house.gov,202-225-2701,Republican,3-Jan-13,3-Jan-17,3,35,OK,Oklahoma,3,1113 Longworth House Office Building,rep,2018,No,I haven't seen the reports that would get me to believe that anything's different [with regards to climate change] than the patterns that we had that we've gone through the time of records.,"ThinkProgress, 8/9/13",https://www.youtube.com/watch?v=c1FfLiWybmI
