,District,Party,Representative,MarginOfVictory,TotalVotes,MainOpposition,BelieveClimateChange,BirthDate,DateInOffice,AgeAtTakingOfficeYear,YearsInOffice,AgeAtTakingOfficeDay,NotableQuote,YearNextElection,114Member,115Member,ProportionOfConstituentsWhoBelieveInClimateChange,PercentMarginOfPresidentialCandidateVictory
337,Pennsylvania District 4,Republican,Scott Perry,32.2%,"327,930",Joshua Burkholder,No,,,,,,"“‘I do believe global warming is occurring … However, I do take exception, whether it’s man-made or not. I learned in public school, the scientific theory … You have a theory and it has to be proven. And I’m concerned anytime that a nation, or the world, makes up policy based on a theory that … has gained consensus but’ does not have proof, he said.” Perry’s denial could be softening. Last year, he said that humans to contribute to climate change, but questioned humans' impact: “There's ‘no doubt’ climate change has been happening,"" Perry said, and he thinks ""man contributes to it to a certain extent.""",,1,1.0,,
338,Pennsylvania District 6,Republican,Ryan Costello,14.6%,"355,471",Mike Parrish,,,,,,,,,1,1.0,,
339,Pennsylvania District 7,Republican,Patrick Meehan,19.5%,"367,122",Mary Ellen Balchunis,,,,,,,,,1,1.0,,
340,Pennsylvania District 8,Republican,Brian Fitzpatrick,9.0%,"379,178",Steve Santarsiero,,,,,,,,,1,0.0,,
341,Pennsylvania District 9,Republican,Bill Shuster,26.9%,"289,756",Art Halvorson,No,,,,,,“Protecting our environment for future generations is one of the most important issues facing our country and the world. There continues to be debate among the scientific community on the precise reason why global temperatures have gradually risen over the last century.”,,1,1.0,,
342,Rhode Island District 1,Democratic,David Cicilline,29.0%,"199,880",Russell Taub,,,,,,,,,1,1.0,,
343,Rhode Island District 2,Democratic,Jim Langevin,27.4%,"226,869",Rhue Reis,,,,,,,,,1,1.0,,
344,South Carolina District 1,Republican,Mark Sanford,22.0%,"318,403",Dimitri Cherny,,,,,,,,,1,1.0,,
345,South Carolina District 2,Republican,Joe Wilson,24.4%,"304,690",Arik Bjorn,No,,,,,,"When asked if he believes that human activity is contributing to climate change, Wilson answered “no.”",,1,1.0,,
346,South Carolina District 3,Republican,Jeff Duncan,45.9%,"269,786",Hosea Cleveland,No,,,,,,At a Department of Homeland Security hearing Duncan said “this notion that manmade climate change is happening is wrong.”,,1,1.0,,
347,South Carolina District 4,Republican,Trey Gowdy,36.2%,"293,386",Chris Fedalei,No,,,,,,“Global warming has not been proven to the satisfaction of the constituents I seek to serve.”,,1,1.0,,
348,South Carolina District 5,Republican,Mick Mulvaney,20.0%,"296,265",Fran Person,No,,,,,,"During President Obama’s second to last State of the Union address, Mulvaney tweeted, “Climate change: the best scientists are ‘all’ telling us? Really? All? Wasn't aware of that. Interesting. Wrong, but interesting #SOTU #sctweets”",,1,1.0,,
349,South Carolina District 6,Democratic,James Clyburn,42.5%,"255,640",Laura Sterling,,,,,,,,,1,1.0,,
350,South Carolina District 7,Republican,Tom Rice,21.5%,"281,204",Mal Hyman,,,,,,,,,1,1.0,,
351,South Dakota At-Large District,Republican,Kristi Noem,28.2%,"369,933",Paula Hawks,No,,,,,,"Noem voted for a South Dakota House Resolution stating that “That there are a variety of climatological, meteorological, astrological, thermological, cosmological, and ecological dynamics that can effect world weather phenomena and that the significance and interrelativity of these factors is largely speculative.” She also tweeted “Here’s a Halloween scare for you: Obama's Energy Dept claims jack-o-lanterns contribute to global warming…”",,1,1.0,,
352,Tennessee District 1,Republican,Phil Roe,63.0%,"250,681",Alan Bohms,No,,,,,,"“Many believe greenhouse gas emissions are contributing to the gradual warming of our planet and changing of our climate. While there are many questions surrounding the science of the issue, it seems to me like we could develop a solution that will reduce greenhouse gas emissions without inflicting catastrophic damage on our economy.”",,1,1.0,,
353,Tennessee District 2,Republican,"John Duncan, Jr.",51.3%,"280,686",Stuart Starr,,,,,,,,,1,1.0,,
354,Tennessee District 3,Republican,Charles Fleischmann,37.5%,"265,753",Melody Shekari,,,,,,,,,1,1.0,,
355,Tennessee District 4,Republican,Scott DesJarlais,30.0%,"254,605",Steven Reynolds,,,,,,,,,1,1.0,,
356,Tennessee District 5,Democratic,Jim Cooper,25.1%,"272,949",Stacy Ries Snyder,,,,,,,,,1,1.0,,
357,Tennessee District 6,Republican,Diane Black,49.3%,"284,219",David Kent,No,,,,,,“The far left-wing elements of this administration foresee a near future with carbon regulated as a pollutant and heavily taxed to discourage consumption and generate revenue. We must resist all of these radical approaches all geared to raise energy prices on American families and businesses.”,,1,1.0,,
358,Tennessee District 7,Republican,Marsha Blackburn,48.6%,"275,805",Tharon Chandler,No,,,,,,"“Blackburn declared to BBC Radio 4 that the ‘jury is still out saying man is the cause for global warming, after the earth started to cool 13 years ago.’ After an interviewer pointed out that scientific data showed a substantial rise in temperature on the surface of the Earth, Blackburn countered that ‘we’ve cooled almost 1 degree (F)” in the last 13 years.’”",,1,1.0,,
359,Tennessee District 8,Republican,David Kustoff,43.7%,"281,116",Rickey Hobson,,,,,,,,,1,0.0,,
360,Tennessee District 9,Democratic,Steve Cohen,60.0%,"215,656",Wayne Alberson,,,,,,,,,1,1.0,,
361,Texas District 1,Republican,Louie Gohmert,49.8%,"259,745",Shirley McKellar,No,,,,,,"Gohmert said, “Apparently this climate change was global freezing back in the 1970s. Then global warming and then, when it quit warming, now it’s climate change.” And in a House Committee on Natural Resources hearing he said, “I’m on record as believing climate change to be a fact. In East Texas where I live it happens four times a year.”",,1,1.0,,
362,Texas District 10,Republican,Michael McCaul,19.0%,"311,828",Tawana Cadien,No,,,,,,"McCaul co-sponsored H.Res.954, a resolution that stated: “Whereas recent events have uncovered extensive evidence from the Climate Research Unit at the University of East Anglia in England (in this resolution referred to as the ‘CRU’) which involved many researchers across the globe discussing the destruction, altering, and hiding of data that did not support global warming claims.” He also said the Obama administration should not “busy DHS with climate politics when terrorism is going viral.”",,1,1.0,,
363,Texas District 11,Republican,Mike Conaway,79.0%,"225,089",Nicholas Landholt,No,,,,,,“Science is never settled … they changed the phraseology because the climate isn’t warming.”,,1,1.0,,
364,Texas District 12,Republican,Kay Granger,42.6%,"282,855",Bill Bradshaw,,,,,,,,,1,1.0,,
365,Texas District 13,Republican,Mac Thornberry,83.3%,"220,854",Calvin DeWeese,No,,,,,,"“Any decisions we make should be based on sound science rather than political, social or personal profit agendas. No computer model yet has correctly predicted the Earth’s actual temperatures. We simply do not understand enough about the causes and effects related to our weather.”",,1,1.0,,
366,Texas District 14,Republican,Randy Weber,24.0%,"259,155",Michael Cole,No,,,,,,"“I may want to get your cell phone, because if we go through cycles of global warming and then back to global cooling, I need to know when to buy my long coat on sale. I just don’t know how y’all prove those hypotheses going back fifty, hundred, what you might say is thousands if not millions of years, and then postulate those forward.”",,1,1.0,,
367,Texas District 15,Democratic,Vicente Gonzalez,20.0%,"177,198",Tim Westley,,,,,,,,,1,0.0,,
368,Texas District 16,Democratic,Beto O'Rourke,76.0%,"172,584",Jaime Perez,,,,,,,,,1,1.0,,
369,Texas District 17,Republican,Bill Flores,25.6%,"245,194",William Matta,No,,,,,,"“It is time we stopped putting petty politics based on dubious ‘agenda-driven, scientific’ research ahead of creating more American energy.”",,1,1.0,,
370,Texas District 18,Democratic,Sheila Jackson Lee,49.8%,"204,014",Lori Bartley,,,,,,,,,1,1.0,,
371,Texas District 19,Republican,Jodey Arrington,78.1%,"203,080",Troy Bonar,,,,,,,,,1,0.0,,
372,Texas District 2,Republican,Ted Poe,24.6%,"277,891",Pat Bryan,No,,,,,,"“The consensus has been for some time that global warming, climate change, continues because man is the perpetrator. Now we are beginning to learn that may not be true, that there is not a consensus that there is global warming or climate change. We now have heard about Climategate, where the expert scientists hid emails in England that disagreed with the so-called consensus that there is global warming and global climate change. We have heard now new evidence that even NASA is involved in not revealing evidence that contradicts climate change.”",,1,1.0,,
373,Texas District 20,Democratic,Joaquin Castro,64.3%,"187,514",Jeffrey Blunt,,,,,,,,,1,1.0,,
374,Texas District 21,Republican,Lamar Smith,20.6%,"354,994",Thomas Wakely,,,,,,,,,1,1.0,,
375,Texas District 22,Republican,Pete Olson,19.1%,"305,125",Mark Gibson,No,,,,,,“The emails that emerge from the University of East Anglia call into question the accuracy of the IPCC data.”,,1,1.0,,
376,Texas District 23,Republican,Will Hurd,1.7%,"226,582",Pete Gallego,,,,,,,,,1,1.0,,
377,Texas District 24,Republican,Kenny Marchant,16.9%,"274,525",Jan McDowell,,,,,,,,,1,1.0,,
378,Texas District 25,Republican,Roger Williams,20.7%,"309,223",Kathi Thomas,,,,,,,,,1,1.0,,
379,Texas District 26,Republican,Michael Burgess,36.7%,"317,001",Eric Mauck,,,,,,,,,1,1.0,,
380,Texas District 27,Republican,Blake Farenthold,23.4%,"229,653",Paul (Roy) Barrera,No,,,,,,"“Global warming is scare tactic used by groups with a political agenda. While I support protecting the environment, the green agenda pushes it way beyond common sense, with ideas like cap and trade which would destroy American industry.”",,1,1.0,,
381,Texas District 28,Democratic,Henry Cuellar,34.9%,"184,270",Zeffen Hardin,,,,,,,,,1,1.0,,
382,Texas District 29,Democratic,Gene Green,48.5%,"131,809",Julio Garza,,,,,,,,,1,1.0,,
383,Texas District 3,Republican,Sam Johnson,26.7%,"315,144",Adam Bell,,,,,,,,,1,1.0,,
384,Texas District 30,Democratic,Eddie Bernice Johnson,58.9%,"218,061",Charles Lingerfelt,,,,,,,,,1,1.0,,
385,Texas District 31,Republican,John Carter,21.9%,"283,859",Mike Clark,No,,,,,,"“We may or may not even be in a warming cycle. Even if we are, scientific evidence does not conclude that activity by man plays any significant role.”",,1,1.0,,
386,Texas District 32,Republican,Pete Sessions,52.1%,"228,201",Ed Rankin,,,,,,,,,1,1.0,,
387,Texas District 33,Democratic,Marc Veasey,47.4%,"126,070",M. Mark Mitchell,,,,,,,,,1,1.0,,
388,Texas District 34,Democratic,Filemon Vela,25.4%,"166,753",Rey Gonzalez Jr.,,,,,,,,,1,1.0,,
389,Texas District 35,Democratic,Lloyd Doggett,31.5%,"196,921",Susan Narvaiz,,,,,,,,,1,1.0,,
390,Texas District 36,Republican,Brian Babin,77.4%,"229,690",Hal Ridley Jr.,,,,,,,,,1,1.0,,
391,Texas District 4,Republican,John Ratcliffe,76.0%,"245,142",Cody Wommack,,,,,,,,,1,1.0,,
392,Texas District 5,Republican,Jeb Hensarling,61.2%,"192,460",Ken Ashby,,,,,,,,,1,1.0,,
393,Texas District 6,Republican,Joe Barton,19.3%,"272,895",Ruby Fay Woolridge,No,,,,,,"“I don’t deny that the climate is changing. I think you can have an honest difference of opinion on what’s causing that change without automatically being either all-in that it’s all because of mankind or it’s all just natural. I think there’s a divergence of evidence … I would point out if you’re a believer in the Bible, one would have to say the Great Flood is an example of climate change. And that certainly wasn’t because mankind overdeveloped hydrocarbon energy.”",,1,1.0,,
394,Texas District 7,Republican,John Culberson,12.4%,"255,143",James Cargas,No,,,,,,"“I'm confident humans have had some effect on the climate. We just don't have enough data or accurate data to say with certainty what that effect has been. For example, I have great faith in the constellation of Earth-observing satellites NASA has launched, many of them being used by NOAA.”",,1,1.0,,
395,Texas District 8,Republican,Kevin Brady,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
396,Texas District 9,Democratic,Al Green,61.3%,"188,338",Jeff Martin,,,,,,,,,1,1.0,,
397,Utah District 1,Republican,Rob Bishop,38.2%,"240,311",Peter Clemens,No,,,,,,“If the issue is dealing with carbon in the air and there is climate change all the time and I wish there was more global warming right now. Because it's really cold here -- I want it warmer in some way.”,,1,1.0,,
398,Utah District 2,Republican,Chris Stewart,27.4%,"243,693",Charlene Albarran,No,,,,,,“The science regarding climate change is anything but settled.”,,1,1.0,,
399,Utah District 3,Republican,Jason Chaffetz,47.0%,"254,847",Stephen Tryon,No,,,,,,"“Is our air and is our quality of life affected by what we throw into the air and in the water? Yes, of course, but the Al Gore defined global warming is a farce, it is.”",,1,1.0,,
400,Utah District 4,Republican,Mia Love,11.8%,"230,702",Doug Owens,,,,,,,,,1,1.0,,
401,Vermont At-large District,Democratic,Peter Welch,80.0%,"292,726",Erica Clawson,,,,,,,,,1,1.0,,
402,Virginia District 1,Republican,Rob Wittman,25.1%,"364,296",Matt Rowe,No,,,,,,“We must recognize that these climactic cycles of heating and cooling have been going on well before man appeared on earth.”,,1,1.0,,
403,Virginia District 10,Republican,Barbara Comstock,5.7%,"385,996",LuAnn Bennett,,,,,,,,,1,1.0,,
404,Virginia District 11,Democratic,Gerald Connolly,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
405,Virginia District 2,Republican,Scott Taylor,23.5%,"279,565",Shaun Brown,,,,,,,,,1,0.0,,
406,Virginia District 3,Democratic,Bobby Scott,33.7%,"298,795",Marty Williams,,,,,,,,,1,1.0,,
407,Virginia District 4,Democratic,Donald McEachin,14.5%,"335,200",Mike Wade,,,,,,,,,1,0.0,,
408,Virginia District 5,Republican,Tom Garrett,16.6%,"354,233",Jane Dittmar,,,,,,,,,1,1.0,,
409,Virginia District 6,Republican,Bob Goodlatte,33.4%,"335,614",Kai Degner,No,,,,,,"“There is no doubt that the earth’s climate is changing. The earth and its climate are dynamic, and have changed throughout history even without human activity. We have reached a point where some experts concur that the earth is once again warming. Regardless of the reason, the debate over climate change should remind us that we should be good stewards of our planet.”",,1,1.0,,
410,Virginia District 7,Republican,David Brat,15.7%,"376,660",Eileen Bedell,,,,,,,,,1,1.0,,
411,Virginia District 8,Democratic,Don Beyer,41.2%,"358,515",Charles Hernick,,,,,,,,,1,1.0,,
412,Virginia District 9,Republican,Morgan Griffith,40.3%,"309,586",Derek Kitts,No,,,,,,"“In regard to radiant heat, the Sun spot effects, what do we know about that? I was reading one report here that indicates that by 2020 we will reach a new peak on Sun spot activity, and this report actually suggests that the Earth’s temperature may be raised by .5 degrees Centigrade as a result of the Sun spot activity. And could that also be the cause.”",,1,1.0,,
413,Washington District 1,Democratic,Suzan DelBene,11.0%,"323,733",Robert Sutherland,,,,,,,,,1,1.0,,
414,Washington District 10,Democratic,Denny Heck,17.3%,"271,372",Jim Postma,,,,,,,,,1,1.0,,
415,Washington District 2,Democratic,Rick Larsen,28.1%,"305,499",Marc Hennemann,,,,,,,,,1,1.0,,
416,Washington District 3,Republican,Jaime Herrera Beutler,22.8%,"298,652",Jim Moeller,,,,,,,,,1,1.0,,
417,Washington District 4,Republican,Dan Newhouse,14.7%,"211,347",Clint Didier,,,,,,,,,1,1.0,,
418,Washington District 5,Republican,Cathy McMorris Rodgers,19.0%,"286,821",Joe Pakootas,No,,,,,,"“Scientific reports are inconclusive at best on human culpability for global warming. Regardless of which theory proves correct, the goal is the same – to reduce carbon emissions, we need innovation in the private sector; not excessive government regulation to stifle some industries while rewarding others. I oppose ‘cap and trade’ and other Big Government schemes because they will destroy jobs while likely having minimal impact on the climate.”",,1,1.0,,
419,Washington District 6,Democratic,Derek Kilmer,23.4%,"306,556",Todd Bloom,,,,,,,,,1,1.0,,
420,Washington District 7,Democratic,Pramila Jayapal,12.2%,"343,369",Brady Walkinshaw,,,,,,,,,1,0.0,,
421,Washington District 8,Republican,Dave Reichert,20.1%,"290,997",Tony Ventrella,,,,,,,,,1,1.0,,
422,Washington District 9,Democratic,Adam Smith,46.1%,"255,785",Doug Basler,,,,,,,,,1,1.0,,
423,West Virginia District 1,Republican,David McKinley,37.9%,"235,364",Mike Manypenny,No,,,,,,"""Now, climate change alarmists contend that man-made CO-2 is the cause of climate change,"" McKinley said on the floor of the House. ""Most people may not realize that 96 percent of all the CO-2 emissions occur naturally, and America's CO-2 emissions' contribution to the global community is actually less than 1 percent ... But even with these facts, decarbonizing America's economy is still a long-term goal of the climate alarmists.""",,1,1.0,,
424,West Virginia District 2,Republican,Alexander Mooney,17.0%,"240,704",Mark Hunt,,,,,,,,,1,1.0,,
425,West Virginia District 3,Republican,Evan Jenkins,43.9%,"205,786",Matt Detch,No,,,,,,"According to Bluefield Daily Telegraph, “In response to a question about climate change, Jenkins said that he is not a scientist, but he pointed out that the Obama administration and the Environmental Protection Agency said ‘no matter what we do here, it’s not going to have an impact on their doomsday scenario.’”",,1,1.0,,
426,Wisconsin District 1,Republican,Paul Ryan,34.8%,"353,848",Ryan Solen,No,,,,,,"When asked about humans’ role in climate change during a 2014 debate Ryan responded, “I don’t know the answer to that question. I don’t think science does either.”",,1,1.0,,
427,Wisconsin District 2,Democratic,Mark Pocan,37.5%,"400,049",Peter Theron,,,,,,,,,1,1.0,,
428,Wisconsin District 3,Democratic,Ron Kind,100.0%,0,Unopposed,,,,,,,,,1,1.0,,
429,Wisconsin District 4,Democratic,Gwen Moore,65.3%,"286,069",Robert Raymond,,,,,,,,,1,1.0,,
430,Wisconsin District 5,Republican,Jim Sensenbrenner,37.4%,"390,496",Khary Penebaker,No,,,,,,"“CO2 is a natural gas. Does this mean that all of us need to put catalytic converters on all our noses? The fact that people think CO2 is a pollutant … basically goes into propaganda,” Sensenbrenner said. He has also questioned the validity of data supporting climate change saying, “For months, legitimate questions have been raised about global warming data not being verified and conflicting data being suppressed, better known to some as ‘Climategate.’”",,1,1.0,,
431,Wisconsin District 6,Republican,Glenn Grothman,19.9%,"356,518",Sarah Lloyd,No,,,,,,"“This environmental stuff, this is the idea that is driven by this global warming thing. Global warming is not man-made and there is barely any global warming at all, there’s been no global warming for the last twelve or thirteen years. I see a shortage of Republicans stepping up to the plate and saying, ‘look, this global warming stuff is not going on.’ It’s ridiculous for the United States, of all the countries in the world, to be putting extra regulations on our business while the Chinese, the Indians, whatever are building new factories all the time while our factories are stuck saying, ‘you can’t do this, you can’t do this,’ because you’ve got to reign in this global warming which doesn’t exist anyway.”",,1,1.0,,
432,Wisconsin District 7,Republican,Sean Duffy,23.5%,"360,744",Mary Hoeft,,,,,,,,,1,1.0,,
433,Wisconsin District 8,Republican,Mike Gallagher,25.3%,"363,380",Tom Nelson,,,,,,,,,1,0.0,,
434,Wyoming's At-large District,Republican,Liz Cheney,32.1%,"250,868",Ryan Greene,,,,,,,,,1,0.0,,
